Time,Vehicle_Type,Passenger_Count,Gate_Location
7:28,Car,1,Main Gate
7:57,Car,2,Main Gate
7:47,Car,1,Main Gate
7:41,Car,1,Main Gate
7:10,Car,2,Main Gate
7:10,Car,2,Main Gate
7:57,Car,2,Main Gate
7:27,Car,2,Main Gate
7:54,Car,1,Main Gate
7:53,Bike,1,Main Gate
7:59,Bike,1,Main Gate
7:22,Bike,1,Main Gate
7:40,Bike,1,Main Gate
7:47,Bike,1,Main Gate
7:45,Bike,1,Main Gate
7:52,Bike,1,Main Gate
7:15,Bike,1,Main Gate
7:29,Bike,1,Main Gate
7:11,Bike,1,Main Gate
7:59,Bike,1,Main Gate
7:38,Bike,1,Main Gate
7:51,Bike,1,Main Gate
7:41,Bike,1,Main Gate
7:29,Bike,1,Main Gate
7:51,Bike,1,Main Gate
7:46,Bike,1,Main Gate
7:56,Bike,1,Main Gate
7:13,Bike,1,Main Gate
7:46,Bike,1,Main Gate
7:11,Bike,1,Main Gate
7:58,Bike,1,Main Gate
8:47,Car,2,Main Gate
8:56,Car,1,Main Gate
8:12,Car,2,Main Gate
8:23,Car,1,Main Gate
8:42,Car,2,Main Gate
8:42,Car,1,Main Gate
8:12,Car,1,Main Gate
8:42,Car,1,Main Gate
8:29,Car,1,Main Gate
8:37,Car,1,Main Gate
8:32,Car,2,Main Gate
8:37,Car,1,Main Gate
8:19,Car,2,Main Gate
8:33,Bike,1,Main Gate
8:56,Bike,1,Main Gate
8:38,Bike,1,Main Gate
8:16,Bike,1,Main Gate
8:13,Bike,1,Main Gate
8:31,Bike,1,Main Gate
8:26,Bike,1,Main Gate
8:22,Bike,1,Main Gate
8:20,Bike,1,Main Gate
8:37,Bike,1,Main Gate
8:59,Bike,1,Main Gate
8:14,Bike,1,Main Gate
8:50,Bike,1,Main Gate
8:18,Bike,1,Main Gate
8:31,Bike,1,Main Gate
8:00,Bus,40,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:00,Car,1,Main Gate
9:15,Car,3,Main Gate
9:15,Car,3,Main Gate
9:15,Car,3,Main Gate
9:15,Car,3,Main Gate
9:15,Car,3,Main Gate
9:30,Bus,45,Main Gate
9:45,Bus,50,Main Gate
10:52,Car,1,Main Gate
10:54,Car,1,Main Gate
10:31,Car,2,Main Gate
10:52,Car,1,Main Gate
10:54,Car,1,Main Gate
10:58,Car,1,Main Gate
10:14,Car,1,Main Gate
10:11,Car,1,Main Gate
10:53,Car,1,Main Gate
10:30,Car,2,Main Gate
10:51,Bike,1,Main Gate
10:10,Bike,1,Main Gate
10:25,Bike,1,Main Gate
10:17,Bike,1,Main Gate
10:53,Bike,1,Main Gate
10:59,Bike,1,Main Gate
10:45,Bike,1,Main Gate
10:24,Bike,1,Main Gate
10:19,Bike,1,Main Gate
10:48,Bike,1,Main Gate
10:40,Bike,1,Main Gate
10:18,Bike,1,Main Gate
10:26,Bike,1,Main Gate
10:10,Bike,1,Main Gate
10:30,Bike,1,Main Gate
10:55,Bike,1,Main Gate
10:32,Bike,1,Main Gate
11:10,Bus,2,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
11:20,Car,1,Main Gate
12:25,Car,1,Main Gate
12:40,Car,1,Main Gate
12:35,Car,2,Main Gate
12:51,Car,1,Main Gate
12:18,Car,2,Main Gate
12:41,Car,1,Main Gate
12:31,Car,2,Main Gate
12:12,Car,1,Main Gate
12:22,Car,2,Main Gate
12:29,Car,1,Main Gate
12:12,Car,2,Main Gate
12:55,Car,2,Main Gate
12:44,Bike,1,Main Gate
12:45,Bike,1,Main Gate
12:24,Bike,1,Main Gate
12:37,Bike,1,Main Gate
12:32,Bike,1,Main Gate
12:30,Bike,1,Main Gate
12:30,Bike,1,Main Gate
12:37,Bike,1,Main Gate
12:30,Bike,1,Main Gate
12:17,Bike,1,Main Gate
12:52,Bike,1,Main Gate
12:53,Bike,1,Main Gate
12:21,Bike,1,Main Gate
12:44,Bike,1,Main Gate
12:50,Bike,1,Main Gate
12:52,Bike,1,Main Gate
12:44,Bike,1,Main Gate
12:24,Bike,1,Main Gate
12:27,Bike,1,Main Gate
13:41,Car,1,Main Gate
13:23,Car,1,Main Gate
13:41,Car,1,Main Gate
13:46,Car,2,Main Gate
13:22,Car,2,Main Gate
13:30,Bike,1,Main Gate
13:14,Bike,1,Main Gate
13:23,Bike,1,Main Gate
13:51,Bike,1,Main Gate
13:38,Bike,1,Main Gate
13:19,Bike,1,Main Gate
13:16,Bike,1,Main Gate
13:50,Bike,1,Main Gate
13:58,Bike,1,Main Gate
13:13,Bike,1,Main Gate
13:21,Bike,1,Main Gate
13:28,Bike,1,Main Gate
13:40,Bike,1,Main Gate
14:50,Car,2,Main Gate
14:47,Car,2,Main Gate
14:44,Car,1,Main Gate
14:21,Car,1,Main Gate
14:23,Car,1,Main Gate
14:34,Car,2,Main Gate
14:36,Car,2,Main Gate
14:56,Car,1,Main Gate
14:14,Bike,1,Main Gate
14:38,Bike,1,Main Gate
14:24,Bike,1,Main Gate
14:59,Bike,1,Main Gate
14:32,Bike,1,Main Gate
14:20,Bike,1,Main Gate
14:16,Bike,1,Main Gate
14:25,Bike,1,Main Gate
14:31,Bike,1,Main Gate
14:54,Bike,1,Main Gate
14:55,Bike,1,Main Gate
14:55,Bike,1,Main Gate
14:39,Bike,1,Main Gate
14:10,Bike,1,Main Gate
14:13,Bike,1,Main Gate
14:30,Bike,1,Main Gate
14:19,Bike,1,Main Gate
14:20,Bike,1,Main Gate
14:27,Bike,1,Main Gate
14:16,Bike,1,Main Gate
14:21,Bike,1,Main Gate
15:45,Car,1,Main Gate
15:20,Car,2,Main Gate
15:34,Car,2,Main Gate
15:28,Car,1,Main Gate
15:32,Car,2,Main Gate
15:32,Car,1,Main Gate
15:59,Car,2,Main Gate
15:31,Car,2,Main Gate
15:35,Bike,1,Main Gate
15:25,Bike,1,Main Gate
15:13,Bike,1,Main Gate
15:18,Bike,1,Main Gate
15:16,Bike,1,Main Gate
15:43,Bike,1,Main Gate
15:47,Bike,1,Main Gate
15:55,Bike,1,Main Gate
15:45,Bike,1,Main Gate
15:27,Bike,1,Main Gate
16:52,Car,2,Main Gate
16:41,Car,1,Main Gate
16:26,Car,1,Main Gate
16:24,Car,1,Main Gate
16:33,Car,2,Main Gate
16:23,Car,2,Main Gate
16:13,Car,1,Main Gate
16:54,Car,1,Main Gate
16:11,Car,1,Main Gate
16:12,Bike,1,Main Gate
16:43,Bike,1,Main Gate
16:35,Bike,1,Main Gate
16:10,Bike,1,Main Gate
16:52,Bike,1,Main Gate
16:48,Bike,1,Main Gate
16:51,Bike,1,Main Gate
16:41,Bike,1,Main Gate
16:15,Bike,1,Main Gate
16:32,Bike,1,Main Gate
16:27,Bike,1,Main Gate
16:22,Bike,1,Main Gate
16:34,Bike,1,Main Gate
16:52,Bike,1,Main Gate
16:19,Bike,1,Main Gate
16:25,Bike,1,Main Gate
16:30,Bike,1,Main Gate
16:54,Bike,1,Main Gate
16:56,Bike,1,Main Gate
17:10,Car,2,Main Gate
17:47,Car,1,Main Gate
17:11,Car,2,Main Gate
17:16,Car,2,Main Gate
17:27,Car,1,Main Gate
17:15,Car,1,Main Gate
17:23,Bike,1,Main Gate
17:40,Bike,1,Main Gate
17:43,Bike,1,Main Gate
17:52,Bike,1,Main Gate
17:34,Bike,1,Main Gate
17:27,Bike,1,Main Gate
17:22,Bike,1,Main Gate
17:58,Bike,1,Main Gate
17:11,Bike,1,Main Gate
17:43,Bike,1,Main Gate
17:30,Bike,1,Main Gate
17:59,Bike,1,Main Gate
17:27,Bike,1,Main Gate
17:23,Bike,1,Main Gate
17:38,Bike,1,Main Gate
17:16,Bike,1,Main Gate
17:47,Bike,1,Main Gate
17:25,Bike,1,Main Gate
17:00,Bus,50,Main Gate
18:18,Car,2,Main Gate
18:53,Car,2,Main Gate
18:29,Car,2,Main Gate
18:57,Car,2,Main Gate
18:55,Car,1,Main Gate
18:28,Car,2,Main Gate
18:19,Car,2,Main Gate
18:37,Car,1,Main Gate
18:58,Car,1,Main Gate
18:23,Car,2,Main Gate
18:14,Car,1,Main Gate
18:14,Car,1,Main Gate
18:10,Car,1,Main Gate
18:58,Car,2,Main Gate
18:23,Car,1,Main Gate
18:19,Bike,1,Main Gate
18:55,Bike,1,Main Gate
18:54,Bike,1,Main Gate
18:53,Bike,1,Main Gate
18:35,Bike,1,Main Gate
18:58,Bike,1,Main Gate
18:33,Bike,1,Main Gate
18:35,Bike,1,Main Gate
18:28,Bike,1,Main Gate
18:49,Bike,1,Main Gate
19:13,Car,1,Main Gate
19:34,Car,1,Main Gate
19:56,Car,1,Main Gate
19:36,Car,2,Main Gate
19:38,Car,2,Main Gate
19:35,Car,2,Main Gate
19:11,Car,1,Main Gate
19:52,Car,1,Main Gate
19:27,Car,1,Main Gate
19:13,Car,1,Main Gate
19:11,Car,2,Main Gate
19:42,Car,2,Main Gate
19:27,Car,2,Main Gate
19:43,Car,2,Main Gate
19:45,Car,2,Main Gate
19:32,Bike,1,Main Gate
19:43,Bike,1,Main Gate
19:42,Bike,1,Main Gate
19:22,Bike,1,Main Gate
19:22,Bike,1,Main Gate
19:45,Bike,1,Main Gate
19:49,Bike,1,Main Gate
19:58,Bike,1,Main Gate
19:49,Bike,1,Main Gate
19:15,Bike,1,Main Gate
19:20,Bike,1,Main Gate
19:19,Bike,1,Main Gate
19:18,Bike,1,Main Gate
19:15,Bike,1,Main Gate
19:21,Bike,1,Main Gate
19:27,Bike,1,Main Gate
19:57,Bike,1,Main Gate
